filename,width,height,class,xmin,ymin,xmax,ymax
631_jpg.rf.0f995d6ff3646c50fae421949098479d.jpg,400,400,baseball diamond,246,86,292,145
631_jpg.rf.0f995d6ff3646c50fae421949098479d.jpg,400,400,baseball diamond,307,103,346,160
631_jpg.rf.0f995d6ff3646c50fae421949098479d.jpg,400,400,baseball diamond,217,204,267,275
631_jpg.rf.0f995d6ff3646c50fae421949098479d.jpg,400,400,baseball diamond,37,193,93,276
631_jpg.rf.0f995d6ff3646c50fae421949098479d.jpg,400,400,basketball court,184,123,211,175
631_jpg.rf.0f995d6ff3646c50fae421949098479d.jpg,400,400,tennis court,141,120,178,147
631_jpg.rf.0f995d6ff3646c50fae421949098479d.jpg,400,400,tennis court,140,147,178,174
631_jpg.rf.0f995d6ff3646c50fae421949098479d.jpg,400,400,tennis court,91,120,129,144
631_jpg.rf.0f995d6ff3646c50fae421949098479d.jpg,400,400,tennis court,88,146,127,172
398_jpg.rf.31cd094b8d9f9a047a98fa09d0b0bf8b.jpg,400,400,vehicle,335,32,363,50
398_jpg.rf.31cd094b8d9f9a047a98fa09d0b0bf8b.jpg,400,400,vehicle,345,89,376,109
398_jpg.rf.31cd094b8d9f9a047a98fa09d0b0bf8b.jpg,400,400,vehicle,340,114,377,133
398_jpg.rf.31cd094b8d9f9a047a98fa09d0b0bf8b.jpg,400,400,vehicle,287,161,305,194
398_jpg.rf.31cd094b8d9f9a047a98fa09d0b0bf8b.jpg,400,400,vehicle,296,205,316,236
398_jpg.rf.31cd094b8d9f9a047a98fa09d0b0bf8b.jpg,400,400,vehicle,309,250,332,282
398_jpg.rf.31cd094b8d9f9a047a98fa09d0b0bf8b.jpg,400,400,vehicle,262,113,295,140
398_jpg.rf.31cd094b8d9f9a047a98fa09d0b0bf8b.jpg,400,400,vehicle,181,159,216,174
398_jpg.rf.31cd094b8d9f9a047a98fa09d0b0bf8b.jpg,400,400,vehicle,64,178,101,205
053_jpg.rf.84a9e62bd25bfd65637b34abfc032a2c.jpg,400,400,airplane,21,43,49,88
053_jpg.rf.84a9e62bd25bfd65637b34abfc032a2c.jpg,400,400,airplane,21,157,48,202
053_jpg.rf.84a9e62bd25bfd65637b34abfc032a2c.jpg,400,400,airplane,20,275,47,320
053_jpg.rf.84a9e62bd25bfd65637b34abfc032a2c.jpg,400,400,airplane,19,336,52,381
053_jpg.rf.84a9e62bd25bfd65637b34abfc032a2c.jpg,400,400,airplane,111,107,143,141
053_jpg.rf.84a9e62bd25bfd65637b34abfc032a2c.jpg,400,400,airplane,113,239,138,267
053_jpg.rf.84a9e62bd25bfd65637b34abfc032a2c.jpg,400,400,airplane,109,285,140,319
053_jpg.rf.84a9e62bd25bfd65637b34abfc032a2c.jpg,400,400,airplane,121,348,144,379
053_jpg.rf.84a9e62bd25bfd65637b34abfc032a2c.jpg,400,400,airplane,151,161,173,218
053_jpg.rf.84a9e62bd25bfd65637b34abfc032a2c.jpg,400,400,airplane,186,61,207,115
053_jpg.rf.84a9e62bd25bfd65637b34abfc032a2c.jpg,400,400,airplane,216,203,250,235
053_jpg.rf.84a9e62bd25bfd65637b34abfc032a2c.jpg,400,400,airplane,223,249,249,280
053_jpg.rf.84a9e62bd25bfd65637b34abfc032a2c.jpg,400,400,airplane,230,294,254,325
053_jpg.rf.84a9e62bd25bfd65637b34abfc032a2c.jpg,400,400,airplane,319,119,345,165
053_jpg.rf.84a9e62bd25bfd65637b34abfc032a2c.jpg,400,400,airplane,319,213,341,240
053_jpg.rf.84a9e62bd25bfd65637b34abfc032a2c.jpg,400,400,airplane,315,258,339,285
053_jpg.rf.84a9e62bd25bfd65637b34abfc032a2c.jpg,400,400,airplane,326,348,347,382
053_jpg.rf.84a9e62bd25bfd65637b34abfc032a2c.jpg,400,400,airplane,359,343,377,383
416_jpg.rf.d620ec89dafcc3e70ba878da58d0e211.jpg,400,400,vehicle,65,201,89,233
416_jpg.rf.d620ec89dafcc3e70ba878da58d0e211.jpg,400,400,vehicle,130,47,152,79
416_jpg.rf.d620ec89dafcc3e70ba878da58d0e211.jpg,400,400,vehicle,318,171,343,208
416_jpg.rf.d620ec89dafcc3e70ba878da58d0e211.jpg,400,400,vehicle,333,137,355,168
416_jpg.rf.d620ec89dafcc3e70ba878da58d0e211.jpg,400,400,vehicle,345,102,368,132
151_jpg.rf.35dfda536c6032e417f617e89296839c.jpg,400,400,basketball court,68,167,119,241
151_jpg.rf.35dfda536c6032e417f617e89296839c.jpg,400,400,basketball court,87,194,136,267
240_jpg.rf.9626475f637180ec08498a212e0e9d53.jpg,400,400,ground track field,28,147,158,322
644_jpg.rf.193e1a7802d55e045aa4a3053cfa2b27.jpg,400,400,baseball diamond,255,334,310,372
644_jpg.rf.193e1a7802d55e045aa4a3053cfa2b27.jpg,400,400,baseball diamond,124,336,196,384
644_jpg.rf.193e1a7802d55e045aa4a3053cfa2b27.jpg,400,400,ground track field,106,181,350,296
009_jpg.rf.5b3bda24a973037fdca7b119dea54e05.jpg,400,400,airplane,68,96,94,125
009_jpg.rf.5b3bda24a973037fdca7b119dea54e05.jpg,400,400,airplane,172,76,186,90
009_jpg.rf.5b3bda24a973037fdca7b119dea54e05.jpg,400,400,airplane,266,38,283,64
009_jpg.rf.5b3bda24a973037fdca7b119dea54e05.jpg,400,400,airplane,296,116,320,150
009_jpg.rf.5b3bda24a973037fdca7b119dea54e05.jpg,400,400,airplane,256,265,277,292
009_jpg.rf.5b3bda24a973037fdca7b119dea54e05.jpg,400,400,airplane,226,270,247,302
644_jpg.rf.81139f69cceb6264e64337f193ca2be9.jpg,400,400,baseball diamond,334,90,372,145
644_jpg.rf.81139f69cceb6264e64337f193ca2be9.jpg,400,400,baseball diamond,336,204,384,276
644_jpg.rf.81139f69cceb6264e64337f193ca2be9.jpg,400,400,ground track field,181,51,296,294
455_jpg.rf.c144f4c6cded0e57c7a14cfd90eb8606.jpg,400,400,tennis court,122,181,153,235
455_jpg.rf.c144f4c6cded0e57c7a14cfd90eb8606.jpg,400,400,tennis court,146,165,179,216
455_jpg.rf.c144f4c6cded0e57c7a14cfd90eb8606.jpg,400,400,tennis court,212,119,244,166
455_jpg.rf.c144f4c6cded0e57c7a14cfd90eb8606.jpg,400,400,tennis court,235,102,268,150
243_jpg.rf.7d0a33fcdbecebea3f28b331b4603aae.jpg,400,400,ground track field,67,69,169,269
097_jpg.rf.b33e816cf3a815360beed0fd324e98aa.jpg,400,400,baseball diamond,23,149,50,193
097_jpg.rf.b33e816cf3a815360beed0fd324e98aa.jpg,400,400,baseball diamond,145,120,172,167
097_jpg.rf.b33e816cf3a815360beed0fd324e98aa.jpg,400,400,baseball diamond,122,202,149,247
097_jpg.rf.b33e816cf3a815360beed0fd324e98aa.jpg,400,400,baseball diamond,74,238,98,278
097_jpg.rf.b33e816cf3a815360beed0fd324e98aa.jpg,400,400,baseball diamond,316,184,339,223
097_jpg.rf.b33e816cf3a815360beed0fd324e98aa.jpg,400,400,baseball diamond,353,298,381,343
632_jpg.rf.0bfb801334b9ecded4f4282dc6ad232b.jpg,400,400,ground track field,209,61,307,304
632_jpg.rf.0bfb801334b9ecded4f4282dc6ad232b.jpg,400,400,baseball diamond,149,175,184,229
632_jpg.rf.0bfb801334b9ecded4f4282dc6ad232b.jpg,400,400,baseball diamond,182,294,219,356
632_jpg.rf.0bfb801334b9ecded4f4282dc6ad232b.jpg,400,400,baseball diamond,35,203,82,279
383_jpg.rf.8fa0eda3462127f319d9ce57ffe15f80.jpg,400,400,vehicle,204,168,222,203
